Date,Location,temp,conditions,precipprob,windspeed
2025-12-08,"Phoenix, AZ",15.3,Clear,0,5.5
2025-12-09,"Phoenix, AZ",15.9,Clear,0,3.4
2025-12-10,"Phoenix, AZ",16.2,Clear,0,2.2
2025-12-11,"Phoenix, AZ",17,Clear,0,2.7
2025-12-12,"Phoenix, AZ",17.5,Clear,0,2.7
2025-12-13,"Phoenix, AZ",17.4,Clear,0,2.7
2025-12-14,"Phoenix, AZ",17.2,Partially cloudy,0,2.7
2025-12-04,"Phoenix, AZ",13.2,Clear,0,8.5
2025-12-05,"Phoenix, AZ",12,Clear,0,2.2
2025-12-06,"Phoenix, AZ",12.7,Clear,0,2.2
2025-12-07,"Phoenix, AZ",14.1,Clear,1,1.8
2025-12-08,"Phoenix, AZ",15.4,Clear,0,2.7

